SeqId	contrast	estimate	SE	df	lower.CL	upper.CL	p.value	Model	UniProt	EntrezGeneSymbol	is_diffexp	CI_Width
10000-28	EARLYOA - HEALTHY	0.0992555233016505	0.167407199632509	1833.87905455288	-0.293416276516717	0.491927323120018	0.823951058934802	24	P43320	CRYBB2	FALSE	0.785343599636735
10001-7	EARLYOA - HEALTHY	0.0353591464527673	0.179152501786228	1722.65687929346	-0.384884625357743	0.455602918263278	0.978754227593412	120	P04049	RAF1	FALSE	0.840487543621021
10003-15	EARLYOA - HEALTHY	-0.206648508210614	0.205173882543313	1670.22526735739	-0.687944562069714	0.274647545648486	0.572403241356558	106	P51814	ZNF41	FALSE	0.9625921077182
10006-25	EARLYOA - HEALTHY	-0.186765525229045	0.222226541817442	1769.2456161646	-0.708037558542378	0.334506508084288	0.677901895458844	83	P19419	ELK1	FALSE	1.04254406662667
10008-43	EARLYOA - HEALTHY	-0.124594521916399	0.200413160897667	1802.15030137721	-0.594692132510656	0.345503088677858	0.808246571877841	61	P43080	GUCA1A	FALSE	0.940195221188514
10010-10	EARLYOA - HEALTHY	-0.0302886667054278	0.183993388588771	1774.63980564559	-0.461876905444665	0.40129957203381	0.985171472184054	9	Q14457	BECN1	FALSE	0.863176477478475
10011-65	EARLYOA - HEALTHY	0.0728228331814152	0.208059381096479	1824.42427530015	-0.415205139919484	0.560850806282314	0.934707516447929	85	Q01968	OCRL	FALSE	0.976055946201798
10012-5	EARLYOA - HEALTHY	0.121977182432918	0.198180898036137	1743.7560455875	-0.342897234079185	0.586851598945021	0.811668546950903	25	O95238	SPDEF	FALSE	0.929748833024206
10014-31	EARLYOA - HEALTHY	-0.261720300644179	0.264937663450392	1784.48621696181	-0.883174417263184	0.359733815974826	0.584638484638737	101	O43623	SNAI2	FALSE	1.24290823323801
10015-119	EARLYOA - HEALTHY	0.0990970347259167	0.197736222626121	1742.17419839719	-0.36473466392083	0.562928733372664	0.870761717085743	53	Q13303	KCNAB2	FALSE	0.927663397293495
10022-207	EARLYOA - HEALTHY	-0.318100929748881	0.178053806027919	1814.81572911738	-0.735749074591634	0.0995472150938709	0.174359519809177	89	Q9Y253	POLH	FALSE	0.835296289685505
10023-32	EARLYOA - HEALTHY	-0.00231724759421411	0.179344969927729	1765.73771772666	-0.423003602591682	0.418369107403254	0.999907964140744	18	P11473	VDR	FALSE	0.841372709994936
10024-44	EARLYOA - HEALTHY	0.218899067927538	0.171021865316736	1829.73118119365	-0.182252063816799	0.620050199671875	0.406684353149563	78	Q86XE5	HOGA1	FALSE	0.802302263488673
10025-1	EARLYOA - HEALTHY	0.0344477772498523	0.236162040061891	1819.96080790889	-0.519499429688151	0.588394984187856	0.988338725137994	76	P09622	DLD	FALSE	1.10789441387601
10030-8	EARLYOA - HEALTHY	-0.107032893291637	0.203864061103847	1819.10972243586	-0.585221388592018	0.371155602008744	0.859098977670473	127	Q9UIF7	MUTYH	FALSE	0.956376990600762
10035-6	EARLYOA - HEALTHY	-0.119230197716348	0.218227507581219	1766.73653396552	-0.631122395634884	0.392662000202187	0.848354811165229	64	Q13115	DUSP4	FALSE	1.02378439583707
10036-201	EARLYOA - HEALTHY	-0.0280998501031588	0.184695817583923	1788.62815044684	-0.461332906869381	0.405133206663063	0.987320204850829	77	Q9H4I2	ZHX3	FALSE	0.866466113532444
10037-98	EARLYOA - HEALTHY	0.281564210488729	0.193461016178895	1677.71559531701	-0.17225403826527	0.735382459242728	0.312880102423591	130	Q96PQ1	SIGLEC12	FALSE	0.907636497507998
10039-32	EARLYOA - HEALTHY	0.299532418792661	0.208059381096547	1824.42427530088	-0.188495554305987	0.787560391891308	0.320749375276955	85	P00491	PNP	FALSE	0.976055946197295
10040-63	EARLYOA - HEALTHY	-0.160345061949052	0.189063709118607	1756.79812450749	-0.603830401327953	0.283140277429849	0.673094223515798	59	Q9H3D4	TP63	FALSE	0.886970678757802
10041-3	EARLYOA - HEALTHY	-0.125099357737203	0.214861308505346	1784.83303321464	-0.629091207091178	0.378892491616772	0.82965532714585	32	P41235	HNF4A	FALSE	1.00798369870795
10042-8	EARLYOA - HEALTHY	-0.485683002947279	0.200413160897638	1802.15030138487	-0.955780613541706	-0.0155853923528519	0.040959936433833	61	Q96BR1	SGK3	TRUE	0.940195221188854
10043-31	EARLYOA - HEALTHY	0.227466568500043	0.231660186349277	1817.15778676619	-0.315921672608387	0.770854809608474	0.588414641962779	109	O60885	BRD4	FALSE	1.08677648221686
10045-47	EARLYOA - HEALTHY	0.222209404001094	0.268957070211289	1832.67694732143	-0.408659002252735	0.853077810254922	0.686797984653968	54	Q13618	CUL3	FALSE	1.26173681250766
10046-55	EARLYOA - HEALTHY	0.116301478801435	0.188171656081575	1818.35906913417	-0.325078679515584	0.557681637118454	0.810249304409095	46	Q13490	BIRC2	FALSE	0.882760316634038
10047-12	EARLYOA - HEALTHY	0.241972866750577	0.200097281797359	1767.01703534379	-0.227391535433027	0.711337268934181	0.447793427965319	17	P19878	NCF2	FALSE	0.938728804367208
10048-7	EARLYOA - HEALTHY	0.323393707805534	0.193100118548031	1827.53822571424	-0.129544907928329	0.776332323539396	0.215191699410511	15	Q13951	CBFB	FALSE	0.905877231467725
10049-112	EARLYOA - HEALTHY	-0.020389620075157	0.222254884906814	1457.68221349628	-0.541822180033296	0.501042939882982	0.995370755673128	27	P54274	TERF1	FALSE	1.04286511991628
10053-5	EARLYOA - HEALTHY	0.691923329834372	0.171021865316709	1829.73118120105	0.290772198090327	1.09307446157842	0.000160510849193773	78	Q13418	ILK	TRUE	0.802302263488089
10054-3	EARLYOA - HEALTHY	0.148262416438418	0.201655522656034	1786.45713763016	-0.324752772834918	0.621277605711754	0.742570880767815	92	Q9H2C0	GAN	FALSE	0.946030378546671
10056-5	EARLYOA - HEALTHY	0.296931816830758	0.183350053641943	1831.17413945316	-0.133136198732419	0.726999832393935	0.237614462699718	135	Q08050	FOXM1	FALSE	0.860136031126354
10058-1	EARLYOA - HEALTHY	-0.198603281265056	0.187324069590108	1831.24397546907	-0.637992781135587	0.240786218605475	0.538988737410941	103	P54725	RAD23A	FALSE	0.878778999741062
10063-10	EARLYOA - HEALTHY	-0.0271589591115844	0.212812528715292	1813.43957354975	-0.526338478408688	0.472020560185519	0.991061241464432	7	Q9NW38	FANCL	FALSE	0.998359038594206
10064-12	EARLYOA - HEALTHY	0.150236897693066	0.190630236748368	1658.01554563212	-0.296945675039961	0.597419470426093	0.710405114839921	114	O75884	RBBP9	FALSE	0.894365145466054
10069-2	EARLYOA - HEALTHY	-0.0230220835411269	0.211977714285292	1820.67108192279	-0.520241810949977	0.474197643867723	0.993518196119211	100	Q13526	PIN1	FALSE	0.9944394548177
10070-22	EARLYOA - HEALTHY	0.141792432225596	0.223646955448656	1831.82153771852	-0.382796313141602	0.666381177592794	0.801398824562807	124	P16885	PLCG2	FALSE	1.0491774907344
10073-22	EARLYOA - HEALTHY	0.227953367089832	0.201655522656065	1786.45713761347	-0.245061822182673	0.700968556362336	0.495417904247915	92	Q9NUW8	TDP1	FALSE	0.946030378545009
10074-128	EARLYOA - HEALTHY	-0.0403154286305755	0.191212011078801	1831.60910587268	-0.488824456043511	0.40819359878236	0.975791618518599	2	P25440	BRD2	FALSE	0.897018054825871
10075-75	EARLYOA - HEALTHY	0.497902520166131	0.210138898218518	1827.41239774968	0.00499745237009808	0.990807587962164	0.0470727134625613	131	Q9BR61	ACBD6	TRUE	0.985810135592066
10076-1	EARLYOA - HEALTHY	0.0871088638097861	0.226713752031279	1794.90669317537	-0.444682306751328	0.618900034370901	0.921859396824105	96	O00189	AP4M1	FALSE	1.06358234112223
10078-5	EARLYOA - HEALTHY	0.00807909056543692	0.17726169452545	1829.72074272696	-0.40770826839619	0.423866449527064	0.998855396504159	5	O95817	BAG3	FALSE	0.831574717923254
10080-9	EARLYOA - HEALTHY	0.260290459846013	0.214687508795151	1794.07606010558	-0.243291544113425	0.76387246380545	0.445930896383321	97	Q14232	EIF2B1	FALSE	1.00716400791888
10081-17	EARLYOA - HEALTHY	-0.0721620696008537	0.179344969927718	1765.73771771839	-0.492848424599925	0.348524285398217	0.914641007650895	18	Q9UPW6	SATB2	FALSE	0.841372709998142
10082-251	EARLYOA - HEALTHY	0.592386335685727	0.216494582361944	1730.41801983342	0.0845500213128879	1.10022265005857	0.0172573534762458	90	P07196	NEFL	TRUE	1.01567262874568
10085-25	EARLYOA - HEALTHY	0.297194562999741	0.203794653732698	1657.84822393534	-0.180869291939323	0.775258417938806	0.311444096915587	137	P49675	STAR	FALSE	0.956127709878129
10086-39	EARLYOA - HEALTHY	-0.0668661324931819	0.171021865316709	1829.73118120105	-0.468017264237226	0.334284999250862	0.919203249086967	78	P35520	CBS	FALSE	0.802302263488089
10087-10	EARLYOA - HEALTHY	-0.0201387303344639	0.187192983715349	1790.64911646833	-0.459228868936815	0.418951408267887	0.993639390254151	45	P02489	CRYAA	FALSE	0.878180277204703
10088-37	EARLYOA - HEALTHY	-0.350128308112643	0.227393429032537	1786.06750489239	-0.88351595882517	0.183259342599883	0.272585119608115	16	P07741	APRT	FALSE	1.06677530142505
10089-7	EARLYOA - HEALTHY	-0.152372839614266	0.231660186349276	1817.15778675086	-0.695761080720097	0.391015401491566	0.787989334345593	109	O95671	ASMTL	FALSE	1.08677648221166
10336-3	EARLYOA - HEALTHY	0.499228742959118	0.200264013712024	1194.79006044711	0.029283089125303	0.969174396792934	0.0342068153502304	10	Q9UNE7	STUB1	TRUE	0.93989130766763
10339-48	EARLYOA - HEALTHY	-0.159322023134211	0.218664335252804	1769.64234303874	-0.672238167869954	0.353594121601531	0.746533869955487	98	P09104	ENO2	FALSE	1.02583228947149
10342-55	EARLYOA - HEALTHY	0.195535324758086	0.234492960672319	1833.87905456478	-0.354493426179154	0.745564075695327	0.682006083034879	134	Q8N2W9	PIAS4	FALSE	1.10005750187448
10344-334	EARLYOA - HEALTHY	0.0116734491852059	0.224729659274044	1805.39817166364	-0.515461185776569	0.53880808414698	0.998513508132192	12	Q13651	IL10RA	FALSE	1.05426926992355
10346-5	EARLYOA - HEALTHY	0.288305357814451	0.201531805081487	1744.39214689679	-0.184429158852974	0.761039874481876	0.325356149525092	22	P40763	STAT3	FALSE	0.945469033334851
10351-51	EARLYOA - HEALTHY	-0.0505271428431937	0.227596314931014	1560.64669185378	-0.584455157553627	0.48340087186724	0.973196556196869	20	P10914	IRF1	FALSE	1.06785602942087
10354-57	EARLYOA - HEALTHY	0.240851352760292	0.216494582362014	1730.41801982548	-0.266984961613836	0.748687667134421	0.506446433617263	90	P40763	STAT3	FALSE	1.01567262874826
10356-21	EARLYOA - HEALTHY	-0.0136637992667429	0.20165242537513	1751.90954348824	-0.48667951862944	0.459351920095955	0.997471910710991	34	P05412	JUN	FALSE	0.946031438725395
10361-25	EARLYOA - HEALTHY	0.0577296985829373	0.23449296067241	1833.87905455412	-0.492299052354527	0.607758449520402	0.967141229972925	134	P00973	OAS1	FALSE	1.10005750187493
10362-35	EARLYOA - HEALTHY	0.190539971257431	0.185555870974442	1805.75386136453	-0.244707030385329	0.625786972900191	0.559965986859138	69	P01106	MYC	FALSE	0.87049400328552
10363-13	EARLYOA - HEALTHY	-0.0241763949958246	0.198180898036105	1743.75604557943	-0.489050811509154	0.440698021517505	0.991829019689195	25	P84022	SMAD3	FALSE	0.929748833026659
10364-6	EARLYOA - HEALTHY	0.298616074405987	0.184695817583934	1788.6281504492	-0.134616982358234	0.731849131170208	0.23874643573839	77	Q15796	SMAD2	FALSE	0.866466113528442
10365-132	EARLYOA - HEALTHY	0.015329441991475	0.21013889821852	1827.41239775238	-0.477575625803772	0.508234509786722	0.997070402022621	131	P29460|Q9NPF7	IL12B|IL23A	FALSE	0.985810135590494
10366-11	EARLYOA - HEALTHY	0.0879543188306206	0.197696756427622	1831.116443824	-0.375765501345574	0.551674139006815	0.896664632821541	47	P16234	PDGFRA	FALSE	0.927439640352389
10367-62	EARLYOA - HEALTHY	-0.138716191263342	0.178878402670196	1794.74927719052	-0.558302392946582	0.280870010419898	0.718154487264585	93	P29459|P29460	IL12A|IL12B	FALSE	0.839172403366481
10370-21	EARLYOA - HEALTHY	0.434743076783743	0.181447615216878	1486.67454570032	0.00905702441248196	0.860429129155004	0.0440268334944165	13	P42224	STAT1	TRUE	0.851372104742522
10372-18	EARLYOA - HEALTHY	0.203208909826036	0.224729659274104	1805.39817166172	-0.323925725137823	0.730343544789895	0.63768705506267	12	P42226	STAT6	FALSE	1.05426926992772
10382-1	EARLYOA - HEALTHY	-0.365253472012624	0.214612123411255	1590.80133222769	-0.868712181514533	0.138205237489285	0.204751888460017	40	Q9Y5C1	ANGPTL3	FALSE	1.00691741900382
10390-21	EARLYOA - HEALTHY	0.295502287664801	0.218227507581213	1766.7365339554	-0.216389910251905	0.807394485581506	0.365491705227241	64	Q9ULT6	ZNRF3	FALSE	1.02378439583341
10396-6	EARLYOA - HEALTHY	-0.128099932926089	0.204250884480402	1656.1090169591	-0.607234472373652	0.351034606521473	0.805209565612577	79	Q07820	MCL1	FALSE	0.958269078895125
10398-110	EARLYOA - HEALTHY	-0.0500484917060883	0.167407199632535	1833.87905455412	-0.442720291523812	0.342623308111635	0.951927507933314	24	Q15327	ANKRD1	FALSE	0.785343599635447
10418-36	EARLYOA - HEALTHY	-0.506074409945463	0.222226541817478	1769.24561617129	-1.02734644326105	0.0151976233701231	0.0592787081776969	83	Q86Y82	STX12	FALSE	1.04254406663117
10419-1	EARLYOA - HEALTHY	-0.31225887944816	0.197107345337326	1802.92271828628	-0.774602064758953	0.150084305862633	0.252707199641801	35	Q6ZMJ2	SCARA5	FALSE	0.924686370621587
10420-30	EARLYOA - HEALTHY	0.164567224006696	0.200413160897638	1802.15030138487	-0.305530386587731	0.634664834601123	0.689945428778235	61	Q9NVQ4	FAIM	FALSE	0.940195221188854
10424-31	EARLYOA - HEALTHY	-0.149966961475687	0.212664118438494	1779.59027173507	-0.648806176456499	0.348872253505125	0.760455852447634	56	Q9NQX5	NPDC1	FALSE	0.997678429961624
10425-3	EARLYOA - HEALTHY	-0.0605255291834974	0.264937663450411	1784.48621696791	-0.681979645804344	0.560928587437349	0.971639545633605	101	O43286	B4GALT5	FALSE	1.24290823324169
10428-1	EARLYOA - HEALTHY	-0.2943620307884	0.199257361497507	1816.84200998112	-0.761745418322539	0.173021356745739	0.302088019498437	68	P43631	KIR2DS2	FALSE	0.934766775068278
10432-3	EARLYOA - HEALTHY	-0.111584931271512	0.217222718767176	1785.68935289336	-0.62111564483201	0.397945782288987	0.864685065166309	33	Q3SXP7	SHISAL1	FALSE	1.019061427121
10435-2	EARLYOA - HEALTHY	-0.0571224842266735	0.212812528715218	1813.43957354539	-0.556302003524868	0.442057035071521	0.961063274766272	7	P20933	AGA	FALSE	0.99835903859639
10438-19	EARLYOA - HEALTHY	-0.198075707193181	0.214861308505356	1784.83303319258	-0.702067556547236	0.305916142160874	0.626507052032439	32	P15509	CSF2RA	FALSE	1.00798369870811
