Community	SeqId	UniProt	GeneSymbol	Classification	Degree	Betweenness	Log2 fold-change	lower.CL	upper.CL
D	10042-8	Q96BR1	SGK3	non-receptor serine/threonine protein kinase	5	4.27181766359214	-0.485683002947279	-0.955780613541706	-0.0155853923528519
D	10053-5	Q13418	ILK	non-receptor serine/threonine protein kinase	2	0.349218023355954	0.691923329834372	0.290772198090327	1.09307446157842
C	10075-75	Q9BR61	ACBD6		2	0.232683982683983	0.497902520166131	0.00499745237009808	0.990807587962164
K	10075-75	Q9BR61	ACBD6		2	2	0.497902520166131	0.00499745237009808	0.990807587962164
D	10082-251	P07196	NEFL	intermediate filament	6	11.5749256760924	0.592386335685727	0.0845500213128879	1.10022265005857
D	10336-3	Q9UNE7	STUB1	ubiquitin-protein ligase	3	1.33672527127083	0.499228742959118	0.029283089125303	0.969174396792934
K	10336-3	Q9UNE7	STUB1	ubiquitin-protein ligase	1	0	0.499228742959118	0.029283089125303	0.969174396792934
D	10370-21	P42224	STAT1	DNA-binding transcription factor	5	6.59274958947719	0.434743076783743	0.00905702441248196	0.860429129155004
D	10418-36	Q86Y82	STX12	SNARE protein	3	1.93413611545687	-0.506074409945463	-1.02734644326105	0.0151976233701231
B	10439-57	P19961	AMY2B	amylase	4	4.79528873291885	-0.715206099767517	-1.16147753560871	-0.26893466392632
D	10442-1	Q8WZ59	TMEM190		10	30.0105625199099	-0.56338345357607	-1.03076684111106	-0.0960000660410843
C	10507-166	P26436	ACRV1		4	2.15549158191841	-0.609564219067406	-1.05342827482974	-0.165700163305074
C	10575-31	Q9UHX1	PUF60	RNA splicing factor	2	0.232683982683983	0.488763469957702	0.0249317713094792	0.952595168605925
D	10608-9	P15515	HTN1		9	16.8642494971063	-0.49299957235724	-0.962363974541551	-0.0236351701729299
D	10620-21	P08118	MSMB	intercellular signal molecule	3	0.808412297941758	-0.444081952760697	-1.03257728809446	0.144413382573066
H	10620-21	P08118	MSMB	intercellular signal molecule	1	0	-0.444081952760697	-1.03257728809446	0.144413382573066
D	10704-91	Q12912	IRAG2	scaffold/adaptor protein	6	12.9835968181872	-0.519379619034407	-0.976585005112204	-0.0621742329566093
D	10737-96	P30740	SERPINB1	protease inhibitor	4	4.57963243538676	0.500895960741406	0.0552134785537013	0.946578442929111
E	10738-11	Q9UBX5	FBLN5	extracellular matrix structural protein	12	44.2737477041646	-0.427499776868044	-0.924487699881426	0.0694881461453387
D	10756-34	Q969E3	UCN3		4	4.6523723380768	-0.437414559011723	-0.848057687626983	-0.0267714303964624
D	10816-150	Q9UKJ1	PILRA	immunoglobulin receptor superfamily	5	2.765517731037	-1.60689860624509	-2.08526234545996	-1.12853486703023
D	10855-55	O15031	PLXNB2	transmembrane signal receptor	4	1.51260201587946	-0.631672009691434	-1.18561921662636	-0.0777248027565062
G	10855-55	O15031	PLXNB2	transmembrane signal receptor	1	0	-0.631672009691434	-1.18561921662636	-0.0777248027565062
D	10900-272	Q93045	STMN2	non-motor microtubule binding protein	3	0.570498351471782	-0.522295138728484	-0.99239274932291	-0.0521975281340566
E	10907-116	Q9P121	NTM	immunoglobulin	4	1.5488287435298	-0.424800813805218	-1.00927009103529	0.159668463424853
G	10907-116	Q9P121	NTM	immunoglobulin	1	0	-0.424800813805218	-1.00927009103529	0.159668463424853
D	10916-44	Q13018	PLA2R1	membrane trafficking regulatory protein	8	11.9188535856584	-0.620838963348294	-1.24229307996914	0.000615153272552904
D	10948-14	Q8IV08	PLD3	phospholipase	2	0.147938289191887	-0.748796138096818	-1.20878732686083	-0.288804949332803
B	10970-3	Q13508	ART3	transferase	3	1.34722317305108	-0.587993909505692	-1.06811539624009	-0.107872422771298
B	10980-11	P22303	ACHE	esterase	7	12.6548582644802	-0.602569925564095	-1.22402404218494	0.0188841910567517
E	11098-1	O00764	PDXK	kinase	5	2.93510658425492	0.694877938587746	0.209819905938403	1.17993597123709
E	11102-22	Q9BYZ8	REG4	membrane trafficking regulatory protein	8	6.30024305895527	-0.688273366474479	-1.22006453703661	-0.156482195912347
E	11117-2	Q8TB22	SPATA20		7	3.99018592577835	0.629407310992376	0.0960196602802691	1.16279496170448
E	11121-56	Q2TAL6	VWC2		7	4.10702466837313	-0.589458843123258	-1.09940152202255	-0.0795161642239668
E	11135-5	Q7Z7F7	MRPL55	ribosomal protein	3	0.663231161683174	-0.530495578888601	-0.969585717493642	-0.0914054402835586
E	11137-43	P32927	CSF2RB	transmembrane signal receptor	8	4.86399107153518	-0.59077974935978	-1.05565416587311	-0.12590533284645
E	11152-46	Q9UKR3	KLK13	serine protease	6	3.80037624945786	-0.641476053388178	-1.12653408603752	-0.156418020738835
E	11171-25	P21333	FLNA		3	0.839760053804532	0.475760009327358	-0.112735326005316	1.06425534466003
E	11184-51	P10645	CHGA		6	0.884897561209405	-0.604786738518687	-1.15762023785858	-0.0519532391787957
C	11186-12	Q8NDY8	TMEM52		6	8.17931283634918	-0.571814489307689	-1.00504754607191	-0.138581432543467
C	11246-3	Q8TDL5	BPIFB1		5	1.35909129727371	-0.497502138326626	-0.96133383697485	-0.0336704396784031
E	11257-1	P09417	QDPR	reductase	3	0.410432274597772	0.488634682352205	0.000610268375253409	0.976659096329156
B	11264-33	P47989	XDH	oxidoreductase	4	6.05595498308909	-0.935258028239896	-1.39246341431793	-0.478052642161859
C	11293-14	Q6UXK5	LRRN1	transmembrane signal receptor	21	276.569199790604	-0.430740176838091	-0.963199060707497	0.101718707031316
D	11347-9	P37837	TALDO1	aldolase	11	46.1434014094421	-0.500513586903336	-0.975461970593332	-0.0255652032133405
D	11350-30	Q9UNE7	STUB1	ubiquitin-protein ligase	18	178.320079219832	0.46390442705195	-0.0116952009692106	0.93950405507311
D	11369-23	P11766	ADH5	dehydrogenase	30	390.422271167285	0.625945716767888	-0.00749289995621449	1.25938433349199
J	11369-23	P11766	ADH5	dehydrogenase	1	0	0.625945716767888	-0.00749289995621449	1.25938433349199
D	11388-75	Q14508	WFDC2	protease inhibitor	6	8.4486499410594	-0.426852712866599	-0.970201524302917	0.11649609856972
K	11388-75	Q14508	WFDC2	protease inhibitor	1	0	-0.426852712866599	-0.970201524302917	0.11649609856972
C	11391-69	Q03426	MVK	carbohydrate kinase	12	50.6764465128213	0.427433291586459	-0.048166336434701	0.90303291960762
K	11391-69	Q03426	MVK	carbohydrate kinase	2	2	0.427433291586459	-0.048166336434701	0.90303291960762
E	11421-10	Q9H223	EHD4	membrane traffic protein	13	15.9832473734036	0.583499129169454	0.127140092725378	1.03985816561353
C	11438-6	P25686	DNAJB2	chaperone	9	19.3068662437381	-0.51279396844664	-1.11607464285819	0.0904867059649068
G	11438-6	P25686	DNAJB2	chaperone	2	1	-0.51279396844664	-1.11607464285819	0.0904867059649068
D	11440-58	O14543	SOCS3	kinase modulator	9	23.2294284220072	-0.589833502510133	-1.11126606246827	-0.0684009425519924
H	11440-58	O14543	SOCS3	kinase modulator	2	12	-0.589833502510133	-1.11126606246827	-0.0684009425519924
E	11441-11	P06737	PYGL	glycosyltransferase	15	29.7127549304883	0.704422552688674	0.155028336136667	1.25381676924068
I	11441-11	P06737	PYGL	glycosyltransferase	1	0	0.704422552688674	0.155028336136667	1.25381676924068
E	11444-49	Q9H1D9	POLR3F	DNA metabolism protein	27	249.306518808329	-0.457928908967064	-0.89317591060889	-0.0226819073252382
E	11490-42	P11441	UBL4A		4	2.52480588731528	-0.559987608875006	-1.02381930752323	-0.0961559102267831
C	11493-169	Q96FJ2	DYNLL2	microtubule or microtubule-binding cytoskeletal protein	5	0.826104089701918	-0.489828155522577	-0.962843874884904	-0.0168124361602498
B	11516-7	P07148	FABP1	transfer/carrier protein	5	3.43033830113026	-1.06865038995758	-1.65011111999082	-0.487189659924338
H	11516-7	P07148	FABP1	transfer/carrier protein	1	0	-1.06865038995758	-1.65011111999082	-0.487189659924338
C	11544-39	Q92576	PHF3	general transcription factor	10	23.509866069128	0.532180091537718	0.0857384719241164	0.97862171115132
J	11544-39	Q92576	PHF3	general transcription factor	4	33	0.532180091537718	0.0857384719241164	0.97862171115132
B	11547-84	O15146	MUSK	transmembrane signal receptor	6	10.736429668186	-0.493835029365908	-1.03722327047174	0.0495532117399236
